"name","sendungart","sendungthema","sendungdatum","sendunglink"
"Ilse Aigner","Hart Aber Fair","Trump macht ernst – wie warm müssen wir uns anziehen?","17-01-30","http://www1.wdr.de/daserste/hartaberfair/sendungen/trumpmachternst-100.html"
"Oskar Lafontaine","Hart Aber Fair","Trump macht ernst – wie warm müssen wir uns anziehen?","17-01-30","http://www1.wdr.de/daserste/hartaberfair/sendungen/trumpmachternst-100.html"
"Josef Braml","Illner","Trump macht ernst - ist dieser Präsident zu stoppen?","17-02-09","https://www.zdf.de//politik/maybrit-illner/Trump-macht-ernst-ist-dieser-Praesident-zu-stoppen-maybrit-illner-vom-9-Februar-2017-100.html"
"Wolfgang Ischinger","Illner","Trump macht ernst - ist dieser Präsident zu stoppen?","17-02-09","https://www.zdf.de//politik/maybrit-illner/Trump-macht-ernst-ist-dieser-Praesident-zu-stoppen-maybrit-illner-vom-9-Februar-2017-100.html"
"Wolfgang Schäuble","Maischberger","Zu Gast: Wolfgang Schäuble (Bundesfinanzminister)","17-02-08","http://www.daserste.de/unterhaltung/talk/maischberger/sendung/zu-gast-bundesfinanzminister-wolfgang-schaeuble-100.html"
"Malu Dreyer","Maischberger","Alles auf Schulz: Kann er Merkel stürzen?","17-01-25","http://www.daserste.de/unterhaltung/talk/maischberger/sendung/alles-auf-schulz-kann-er-merkel-stuerzen-100.html"
"Andreas Scheuer","Maischberger","Alles auf Schulz: Kann er Merkel stürzen?","17-01-25","http://www.daserste.de/unterhaltung/talk/maischberger/sendung/alles-auf-schulz-kann-er-merkel-stuerzen-100.html"
"Susanne Neumann","Maischberger","Alles auf Schulz: Kann er Merkel stürzen?","17-01-25","http://www.daserste.de/unterhaltung/talk/maischberger/sendung/alles-auf-schulz-kann-er-merkel-stuerzen-100.html"
"Hans-Ulrich Jörges","Maischberger","Alles auf Schulz: Kann er Merkel stürzen?","17-01-25","http://www.daserste.de/unterhaltung/talk/maischberger/sendung/alles-auf-schulz-kann-er-merkel-stuerzen-100.html"
"Dirk Schümer","Maischberger","Alles auf Schulz: Kann er Merkel stürzen?","17-01-25","http://www.daserste.de/unterhaltung/talk/maischberger/sendung/alles-auf-schulz-kann-er-merkel-stuerzen-100.html"
"Regina Lenders","Maischberger","Polizisten – Prügelknaben der Nation?","17-02-01","http://www.daserste.de/unterhaltung/talk/maischberger/sendung/polizisten-pruegelknaben-der-nation-102.html"
"Nick Hein","Maischberger","Polizisten – Prügelknaben der Nation?","17-02-01","http://www.daserste.de/unterhaltung/talk/maischberger/sendung/polizisten-pruegelknaben-der-nation-102.html"
"Erich Schmidt-Eenboom","Illner","Der unberechenbare Präsident - stellt Trump die Welt auf den Kopf?","17-01-19","https://www.zdf.de//politik/maybrit-illner/Der-unberechenbare-Praesident-stellt-Trump-die-Welt-auf-den-Kopf-maybrit-illner-vom-19-Januar-2017-100.html"
"Roger Johnson","Illner","Der unberechenbare Präsident - stellt Trump die Welt auf den Kopf?","17-01-19","https://www.zdf.de//politik/maybrit-illner/Der-unberechenbare-Praesident-stellt-Trump-die-Welt-auf-den-Kopf-maybrit-illner-vom-19-Januar-2017-100.html"
"Andreas Scheuer","Illner","Terror mit Ansage – was tun mit den Gefährdern?","17-01-12","https://www.zdf.de//politik/maybrit-illner/Terror-mit-Ansage-was-tun-mit-den-Gefaehrdern-vom-12-januar-2017-100.html"
